fecha_recepcion,fecha_envio,producto,subproducto,asunto,subasunto,descripcion_queja,descripcion_solucion,compania,estado_abbr,estado,codigo_postal,etiquetas,consentimiento_cliente,medio_comunicacion,estatus_queja,respuesta_a_tiempo,se_abre_disputa
29/07/2013,30/07/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Wells Fargo & Company,VA,Virginia,24540,,N/A,Phone,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,Wells Fargo & Company,CA,California,95992,Older American,N/A,Web,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,Santander Bank US,NY,New York,10065,,N/A,Fax,Closed,Yes,No
29/07/2013,30/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Wells Fargo & Company,GA,Georgia,30084,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Franklin Credit Management,CT,Connecticut,6106,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,30/07/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,Bank of America,TX,Texas,75025,,N/A,Web,Closed with explanation,Yes,No
29/07/2013,07/08/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont''d attempts collect debt not owed,Debt is not mine,,,"NRA Group, LLC",VA,Virginia,20147,,N/A,Web,Closed with non-monetary relief,Yes,No
29/07/2013,01/08/2013,Debt collection,I do not know,Cont''d attempts collect debt not owed,Debt was paid,,,"SunTrust Banks, Inc.",FL,Florida,32818,,N/A,Referral,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Credit card,,Billing statement,,,,Citibank,OH,Ohio,45247,,N/A,Referral,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Wells Fargo & Company,NV,Nevada,89511,,N/A,Referral,Closed with explanation,Yes,Yes
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NC,North Carolina,27949,,N/A,Referral,Closed with non-monetary relief,Yes,No
29/07/2013,30/07/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMorgan Chase & Co.,CA,California,90703,,N/A,Referral,Closed with explanation,Yes,No
29/07/2013,31/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,California,95821,,N/A,Referral,Closed with explanation,Yes,Yes
